onset	duration	trial_type	value	sample
19.146484375	5.0	left_hand	1	9803
28.224609375	5.0	left_hand	1	14451
39.85546875	5.0	right_hand	2	20406
49.794921875	5.0	left_hand	1	25495
57.9921875	5.0	left_hand	1	29692
65.57421875	5.0	right_hand	2	33574
74.193359375	5.0	left_hand	1	37987
83.443359375	5.0	right_hand	2	42723
91.572265625	5.0	left_hand	1	46885
104.630859375	5.0	left_hand	1	53571
112.126953125	5.0	left_hand	1	57409
122.08984375	5.0	right_hand	2	62510
135.529296875	5.0	right_hand	2	69391
143.94140625	5.0	right_hand	2	73698
155.697265625	5.0	right_hand	2	79717
163.501953125	5.0	right_hand	2	83713
172.775390625	5.0	left_hand	1	88461
181.97265625	5.0	right_hand	2	93170
191.193359375	5.0	right_hand	2	97891
199.240234375	5.0	left_hand	1	102011
